IssueType,Id,ParentId,Phase,Component,Summary,Priority,Effort,StoryPoints,Risk,Dependencies,AcceptanceCriteria
Epic,TK-E01,,Fase1-MVP,core,Plataforma & Persistencia,P0,,,Medio,,"Fundacao: bootstrap, SQLite, logs, IPC, CI"
Feature,TK-F011,TK-E01,Fase1-MVP,core,Bootstrap do TkCore & IPC tipado,P0,,,Baixo,,"AppContext + tipos compartilhados"
Story,TK-S0111,TK-F011,Fase1-MVP,core,Inicializar AppContext e ciclo de vida,P0,M,5,Baixo,,"App inicia, cria DB em APPDATA, expoe contexto; shutdown faz flush; cold start <1.5s"
Task,TK-T01111,TK-S0111,Fase1-MVP,core,Implementar AppContext::bootstrap,P0,S,2,Baixo,,
Task,TK-T01112,TK-S0111,Fase1-MVP,core,Lifecycle bootstrap-ready-running-shutdown,P0,S,2,Baixo,,
Task,TK-T01113,TK-S0111,Fase1-MVP,core,Registrar contexto no setup do Tauri,P0,XS,1,Baixo,,
Task,TK-T01114,TK-S0111,Fase1-MVP,core,Teste de bootstrap,P1,XS,1,Baixo,,
Story,TK-S0112,TK-F011,Fase1-MVP,ipc,Contratos + geracao de tipos ts-rs,P0,M,5,Medio,TK-S0111,"Alterar struct Rust regenera .ts; CI quebra se houver drift"
Task,TK-T01121,TK-S0112,Fase1-MVP,ipc,Definir DTOs em tk-contracts,P0,S,2,Baixo,,
Task,TK-T01122,TK-S0112,Fase1-MVP,ipc,Build exporta .ts para frontend,P0,S,2,Medio,,
Task,TK-T01123,TK-S0112,Fase1-MVP,ipc,Wrappers ipc tipados no frontend,P1,XS,1,Baixo,,
Task,TK-T01124,TK-S0112,Fase1-MVP,ci,Guard de drift de tipos no CI,P1,XS,1,Baixo,,
Feature,TK-F012,TK-E01,Fase1-MVP,storage,Camada de persistencia SQLite,P0,,,Baixo,,
Story,TK-S0121,TK-F012,Fase1-MVP,storage,Conexao SQLite + migrations,P0,M,5,Baixo,TK-S0111,"Schema criado conforme doc; reabrir e idempotente; WAL ativo"
Task,TK-T01211,TK-S0121,Fase1-MVP,storage,Open com WAL/synchronous/foreign_keys,P0,S,2,Baixo,,
Task,TK-T01212,TK-S0121,Fase1-MVP,storage,Rodar migration 0001 no boot,P0,XS,1,Baixo,,
